time,rate,err
776069575.396891,2.289502,1.0680579
776069585.396891,2.5184677,1.068264
776069595.396891,3.0926697,1.1039071
776069605.396891,3.9008791,1.1049306
776069615.396891,3.5538824,1.1044624
776069625.396891,2.8626814,1.0686107
776069635.396891,3.4384243,1.1043161
776069645.396891,4.4812927,1.1711566
776069655.396891,2.9776242,1.0687363
776069665.396891,4.0167527,1.1050967
776069675.396891,3.3230696,1.1041749
776069685.396891,3.669444,1.1046135
776069695.396891,2.9776242,1.0687363
776069705.396891,2.1751716,1.0679623
776069715.396891,3.5538824,1.1044624
776069725.396891,2.060943,1.0678717
776069735.396891,1.9468153,1.067786
776069745.396891,3.669444,1.1046135
776069755.396891,3.4384243,1.1043161
776069765.396891,3.0926697,1.1039071
776069775.396891,2.9776242,1.0687363
776069785.396891,4.4812927,1.1711566
776069795.396891,2.060943,1.0678717
776069805.396891,3.7851098,1.1047696
776069815.396891,3.0926697,1.1039071
776069825.396891,4.132731,1.1052678
776069835.396891,4.3650007,1.1709809
776069845.396891,3.0926697,1.1039071
776069855.396891,2.1751716,1.0679623
776069865.396891,2.5184677,1.068264
776069875.396891,3.4384243,1.1043161
776069885.396891,3.4384243,1.1043161
776069895.396891,2.7478411,1.0684901
776069905.396891,2.8626814,1.0686107
776069915.396891,2.4039338,1.0681584
776069925.396891,3.669444,1.1046135
776069935.396891,2.060943,1.0678717
776069945.396891,3.9008791,1.1049306
776069955.396891,2.9776242,1.0687363
776069965.396891,2.9776242,1.0687363
776069975.396891,4.0167527,1.1050967
776069985.396891,2.7478411,1.0684901
776069995.396891,2.9776242,1.0687363
776070005.396891,2.5184677,1.068264
776070015.396891,4.248813,1.17081
776070025.396891,2.9776242,1.0687363
776070035.396891,2.1751716,1.0679623
776070045.396891,1.9468153,1.067786
776070055.396891,2.4039338,1.0681584
776070065.396891,1.0374216,1.0303721
776070075.396891,2.7478411,1.0684901
776070085.396891,3.9008791,1.1049306
776070095.396891,4.5976896,1.1713371
776070105.396891,3.4384243,1.1043161
776070115.396891,3.5538824,1.1044624
776070125.396891,2.8626814,1.0686107
776070135.396891,3.669444,1.1046135
776070145.396891,2.1751716,1.0679623
776070155.396891,3.9008791,1.1049306
776070165.396891,3.669444,1.1046135
776070175.396891,1.9468153,1.067786
776070185.396891,2.5184677,1.068264
776070195.396891,3.5538824,1.1044624
776070205.396891,3.3230696,1.1041749
776070215.396891,3.669444,1.1046135
776070225.396891,1.4913149,1.030595
776070235.396891,4.0167527,1.1050967
776070245.396891,3.3230696,1.1041749
776070255.396891,4.132731,1.1052678
776070265.396891,3.9008791,1.1049306
776070275.396891,2.7478411,1.0684901
776070285.396891,4.5976896,1.1713371
776070295.396891,4.4812927,1.1711566
776070305.396891,3.7851098,1.1047696
776070315.396891,2.4039338,1.0681584
776070325.396891,2.9776242,1.0687363
776070335.396891,3.2078183,1.1040386
776070345.396891,3.9008791,1.1049306
776070355.396891,3.669444,1.1046135
776070365.396891,4.0167527,1.1050967
776070375.396891,3.0926697,1.1039071
776070385.396891,3.2078183,1.1040386
776070395.396891,3.9008791,1.1049306
776070405.396891,3.0926697,1.1039071
776070415.396891,3.5538824,1.1044624
776070425.396891,2.8626814,1.0686107
776070435.396891,5.181259,1.1723111
776070445.396891,3.0926697,1.1039071
776070455.396891,2.289502,1.0680579
776070465.396891,3.9008791,1.1049306
776070475.396891,2.060943,1.0678717
776070485.396891,2.1751716,1.0679623
776070495.396891,3.5538824,1.1044624
776070505.396891,3.2078183,1.1040386
776070515.396891,2.6331034,1.0683745
776070525.396891,3.5538824,1.1044624
776070535.396891,2.4039338,1.0681584
776070545.396891,2.7478411,1.0684901
776070555.396891,3.5538824,1.1044624
776070565.396891,2.6331034,1.0683745
776070575.396891,4.4812927,1.1711566
776070585.396891,2.8626814,1.0686107
776070595.396891,1.6050389,1.0306633
776070605.396891,2.7478411,1.0684901
776070615.396891,5.0643334,1.1721066
776070625.396891,3.2078183,1.1040386
776070635.396891,3.5538824,1.1044624
776070645.396891,2.6331034,1.0683745
776070655.396891,2.4039338,1.0681584
776070665.396891,1.264168,1.0304735
776070675.396891,4.5976896,1.1713371
776070685.396891,2.8626814,1.0686107
776070695.396891,2.1751716,1.0679623
776070705.396891,4.947514,1.1719071
776070715.396891,2.289502,1.0680579
776070725.396891,3.669444,1.1046135
776070735.396891,2.9776242,1.0687363
776070745.396891,4.5976896,1.1713371
776070755.396891,3.669444,1.1046135
776070765.396891,4.3650007,1.1709809
776070775.396891,1.264168,1.0304735
776070785.396891,2.060943,1.0678717
776070795.396891,2.6331034,1.0683745
776070805.396891,2.9776242,1.0687363
776070815.396891,3.5538824,1.1044624
776070825.396891,4.8308005,1.1717123
776070835.396891,1.6050389,1.0306633
776070845.396891,3.4384243,1.1043161
776070855.396891,3.0926697,1.1039071
776070865.396891,3.669444,1.1046135
776070875.396891,4.5976896,1.1713371
776070885.396891,1.9468153,1.067786
776070895.396891,2.289502,1.0680579
776070905.396891,2.4039338,1.0681584
776070915.396891,1.0374216,1.0303721
776070925.396891,3.9008791,1.1049306
776070935.396891,3.669444,1.1046135
776070945.396891,3.2078183,1.1040386
776070955.396891,2.8626814,1.0686107
776070965.396891,3.3230696,1.1041749
776070975.396891,2.6331034,1.0683745
776070985.396891,3.4384243,1.1043161
776070995.396891,3.0926697,1.1039071
776071005.396891,2.4039338,1.0681584
776071015.396891,2.8626814,1.0686107
776071025.396891,3.3230696,1.1041749
776071035.396891,1.1507448,1.0304203
776071045.396891,2.9776242,1.0687363
776071055.396891,2.289502,1.0680579
776071065.396891,3.2078183,1.1040386
776071075.396891,2.289502,1.0680579
776071085.396891,4.132731,1.1052678
776071095.396891,4.132731,1.1052678
776071105.396891,5.6500254,1.2038213
776071115.396891,4.132731,1.1052678
776071125.396891,3.2078183,1.1040386
776071135.396891,3.0926697,1.1039071
776071145.396891,3.5538824,1.1044624
776071155.396891,3.669444,1.1046135
776071165.396891,3.2078183,1.1040386
776071175.396891,3.2078183,1.1040386
776071185.396891,3.0926697,1.1039071
776071195.396891,1.832789,1.0308151
776071205.396891,3.9008791,1.1049306
776071215.396891,3.669444,1.1046135
776071225.396891,4.132731,1.1052678
776071235.396891,2.1751716,1.0679623
776071245.396891,2.9776242,1.0687363
776071255.396891,3.2078183,1.1040386
776071265.396891,2.9776242,1.0687363
776071275.396891,1.4913149,1.030595
776071285.396891,3.2078183,1.1040386
776071295.396891,2.8626814,1.0686107
776071305.396891,3.4384243,1.1043161
776071315.396891,4.4812927,1.1711566
776071325.396891,2.6331034,1.0683745
776071335.396891,3.2078183,1.1040386
776071345.396891,2.8626814,1.0686107
776071355.396891,1.7188635,1.0307367
776071365.396891,2.289502,1.0680579
776071375.396891,3.669444,1.1046135
776071385.396891,1.832789,1.0308151
776071395.396891,2.5184677,1.068264
776071405.396891,1.9468153,1.067786
776071415.396891,2.5184677,1.068264
776071425.396891,3.3230696,1.1041749
776071435.396891,2.5184677,1.068264
776071445.396891,2.6331034,1.0683745
776071455.396891,3.5538824,1.1044624
776071465.396891,2.6331034,1.0683745
776071475.396891,2.289502,1.0680579
776071485.396891,4.5976896,1.1713371
776071495.396891,2.6331034,1.0683745
776071505.396891,3.7851098,1.1047696
776071515.396891,2.6331034,1.0683745
776071525.396891,2.1751716,1.0679623
776071535.396891,3.7851098,1.1047696
776071545.396891,1.4913149,1.030595
776071555.396891,2.8626814,1.0686107
776071565.396891,4.248813,1.17081
776071575.396891,3.9008791,1.1049306
776071585.396891,4.7141924,1.1715223
776071595.396891,2.5184677,1.068264
776071605.396891,2.6331034,1.0683745
776071615.396891,2.9776242,1.0687363
776071625.396891,3.7851098,1.1047696
776071635.396891,4.7141924,1.1715223
776071645.396891,3.9008791,1.1049306
776071655.396891,3.2078183,1.1040386
776071665.396891,4.7141924,1.1715223
776071675.396891,3.669444,1.1046135
776071685.396891,2.9776242,1.0687363
776071695.396891,3.0926697,1.1039071
776071705.396891,3.5538824,1.1044624
776071715.396891,2.060943,1.0678717
776071725.396891,3.5538824,1.1044624
776071735.396891,3.669444,1.1046135
776071745.396891,3.669444,1.1046135
776071755.396891,2.9776242,1.0687363
776071765.396891,2.9776242,1.0687363
776071775.396891,2.7478411,1.0684901
776071785.396891,2.6331034,1.0683745
776071795.396891,4.0167527,1.1050967
776071805.396891,3.5538824,1.1044624
776071815.396891,1.3776913,1.0305316
776071825.396891,1.6050389,1.0306633
776071835.396891,2.8626814,1.0686107
776071845.396891,3.9008791,1.1049306
776071855.396891,1.832789,1.0308151
776071865.396891,2.9776242,1.0687363
776071875.396891,3.5538824,1.1044624
776071885.396891,4.7141924,1.1715223
776071895.396891,2.289502,1.0680579
776071905.396891,2.5184677,1.068264
776071915.396891,3.2078183,1.1040386
776071925.396891,2.7478411,1.0684901
776071935.396891,4.8308005,1.1717123
776071945.396891,4.5976896,1.1713371
776071955.396891,5.0643334,1.1721066
776071965.396891,1.832789,1.0308151
776071975.396891,4.5976896,1.1713371
776071985.396891,5.0643334,1.1721066
776071995.396891,2.9776242,1.0687363
776072005.396891,5.2982907,1.1725203
776072015.396891,3.0926697,1.1039071
776072025.396891,1.9468153,1.067786
776072035.396891,2.1751716,1.0679623
776072045.396891,2.060943,1.0678717
776072055.396891,3.3230696,1.1041749
776072065.396891,2.8626814,1.0686107
776072075.396891,2.4039338,1.0681584
776072085.396891,3.669444,1.1046135
776072095.396891,2.289502,1.0680579
776072105.396891,2.8626814,1.0686107
776072115.396891,2.5184677,1.068264
776072125.396891,3.5538824,1.1044624
776072135.396891,2.060943,1.0678717
776072145.396891,3.3230696,1.1041749
776072155.396891,2.4039338,1.0681584
776072165.396891,4.3650007,1.1709809
776072175.396891,2.9776242,1.0687363
776072185.396891,2.060943,1.0678717
776072195.396891,1.4913149,1.030595
776072205.396891,4.4812927,1.1711566
776072215.396891,1.6050389,1.0306633
776072225.396891,2.8626814,1.0686107
776072235.396891,3.5538824,1.1044624
776072245.396891,2.060943,1.0678717
776072255.396891,5.181259,1.1723111
776072265.396891,2.5184677,1.068264
776072275.396891,2.4039338,1.0681584
776072285.396891,3.3230696,1.1041749
776072295.396891,2.8626814,1.0686107
776072305.396891,3.2078183,1.1040386
776072315.396891,2.1751716,1.0679623
776072325.396891,2.4039338,1.0681584
776072335.396891,2.9776242,1.0687363
776072345.396891,2.7478411,1.0684901
776072355.396891,2.6331034,1.0683745
776072365.396891,3.2078183,1.1040386
776072375.396891,2.9776242,1.0687363
776072385.396891,2.5184677,1.068264
776072395.396891,3.669444,1.1046135
776072405.396891,3.4384243,1.1043161
776072415.396891,2.8626814,1.0686107
776072425.396891,4.8308005,1.1717123
776072435.396891,2.289502,1.0680579
776072445.396891,3.9008791,1.1049306
776072455.396891,3.9008791,1.1049306
776072465.396891,3.3230696,1.1041749
776072475.396891,3.7851098,1.1047696
776072485.396891,3.669444,1.1046135
776072495.396891,3.669444,1.1046135
776072505.396891,3.2078183,1.1040386
776072515.396891,2.060943,1.0678717
776072525.396891,2.289502,1.0680579
776072535.396891,2.289502,1.0680579
776072545.396891,2.6331034,1.0683745
776072555.396891,2.1751716,1.0679623
776072565.396891,3.4384243,1.1043161
776072575.396891,3.669444,1.1046135
776072585.396891,3.669444,1.1046135
776072595.396891,2.289502,1.0680579
776072605.396891,3.3230696,1.1041749
776072615.396891,2.7478411,1.0684901
776072625.396891,2.1751716,1.0679623
776072635.396891,2.6331034,1.0683745
776072645.396891,4.248813,1.17081
776072655.396891,4.5976896,1.1713371
776072665.396891,1.832789,1.0308151
776072675.396891,4.8308005,1.1717123
776072685.396891,3.5538824,1.1044624
776072695.396891,1.6050389,1.0306633
776072705.396891,3.0926697,1.1039071
776072715.396891,1.832789,1.0308151
776072725.396891,2.4039338,1.0681584
776072735.396891,3.669444,1.1046135
776072745.396891,3.0926697,1.1039071
776072755.396891,2.9776242,1.0687363
776072765.396891,2.6331034,1.0683745
776072775.396891,2.8626814,1.0686107
776072785.396891,4.0167527,1.1050967
776072795.396891,1.9468153,1.067786
776072805.396891,4.947514,1.1719071
776072815.396891,1.9468153,1.067786
776072825.396891,3.0926697,1.1039071
776072835.396891,3.0926697,1.1039071
776072845.396891,4.4812927,1.1711566
776072855.396891,3.2078183,1.1040386
776072865.396891,2.8626814,1.0686107
776072875.396891,3.9008791,1.1049306
776072885.396891,4.5976896,1.1713371
776072895.396891,3.3230696,1.1041749
776072905.396891,3.5538824,1.1044624
776072915.396891,2.8626814,1.0686107
776072925.396891,3.7851098,1.1047696
776072935.396891,3.669444,1.1046135
776072945.396891,3.3230696,1.1041749
776072955.396891,3.3230696,1.1041749
776072965.396891,2.9776242,1.0687363
776072975.396891,2.5184677,1.068264
776072985.396891,2.6331034,1.0683745
776072995.396891,1.7188635,1.0307367
776073005.396891,3.5538824,1.1044624
776073015.396891,3.5538824,1.1044624
776073025.396891,2.1751716,1.0679623
776073035.396891,2.289502,1.0680579
776073045.396891,3.7851098,1.1047696
776073055.396891,2.8626814,1.0686107
776073065.396891,3.0926697,1.1039071
776073075.396891,3.5538824,1.1044624
776073085.396891,3.4384243,1.1043161
776073095.396891,4.132731,1.1052678
776073105.396891,3.3230696,1.1041749
776073115.396891,2.9776242,1.0687363
776073125.396891,2.9776242,1.0687363
776073135.396891,4.132731,1.1052678
776073145.396891,4.4812927,1.1711566
776073155.396891,4.4812927,1.1711566
776073165.396891,3.3230696,1.1041749
776073175.396891,2.6331034,1.0683745
776073185.396891,3.4384243,1.1043161
776073195.396891,1.7188635,1.0307367
776073205.396891,3.3230696,1.1041749
776073215.396891,3.7851098,1.1047696
776073225.396891,3.5538824,1.1044624
776073235.396891,2.7478411,1.0684901
776073245.396891,3.4384243,1.1043161
776073255.396891,1.7188635,1.0307367
776073265.396891,2.8626814,1.0686107
776073275.396891,3.669444,1.1046135
776073285.396891,3.9008791,1.1049306
776073295.396891,8.402517,1.2679526
776073610.489664,2.6158857,1.0619783
776073620.489664,2.385294,1.0617611
776073630.489664,2.0402503,1.0251801
776073640.489664,4.477044,1.1630646
776073650.489664,2.6158857,1.0619783
776073660.489664,3.078427,1.0624743
776073670.489664,3.3103802,1.0971991
776073680.489664,2.6158857,1.0619783
776073690.489664,3.1943467,1.0626111
776073700.489664,4.3598566,1.0986655
776073710.489664,4.2427855,1.0984821
776073720.489664,3.6591685,1.0976422
776073730.489664,2.9626215,1.0623425
776073740.489664,2.270167,1.0616602
776073750.489664,2.8469293,1.062216
776073760.489664,4.477044,1.1630646
776073770.489664,2.385294,1.0617611
776073780.489664,3.6591685,1.0976422
776073790.489664,3.1943467,1.0626111
776073800.489664,2.5005333,1.0618672
776073810.489664,2.8469293,1.062216
776073820.489664,2.731351,1.0620947
776073830.489664,3.3103802,1.0971991
776073840.489664,3.5427911,1.0974894
776073850.489664,3.5427911,1.0974894
776073860.489664,2.270167,1.0616602
776073870.489664,3.1943467,1.0626111
776073880.489664,2.0402503,1.0251801
776073890.489664,3.4265285,1.0973418
776073900.489664,2.1551528,1.0615643
776073910.489664,5.300635,1.1644485
776073920.489664,3.775661,1.0977999
776073930.489664,1.6962144,1.0249293
776073940.489664,3.3103802,1.0971991
776073950.489664,3.3103802,1.0971991
776073960.489664,2.5005333,1.0618672
776073970.489664,3.078427,1.0624743
776073980.489664,3.1943467,1.0626111
776073990.489664,3.775661,1.0977999
776074000.489664,3.4265285,1.0973418
776074010.489664,4.1258307,1.0983039
776074020.489664,2.0402503,1.0251801
776074030.489664,4.1258307,1.0983039
776074040.489664,2.6158857,1.0619783
776074050.489664,2.270167,1.0616602
776074060.489664,2.9626215,1.0623425
776074070.489664,2.5005333,1.0618672
776074080.489664,4.829307,1.1636282
776074090.489664,2.8469293,1.062216
776074100.489664,2.8469293,1.062216
776074110.489664,2.6158857,1.0619783
776074120.489664,2.0402503,1.0251801
776074130.489664,2.270167,1.0616602
776074140.489664,2.0402503,1.0251801
776074150.489664,2.731351,1.0620947
776074160.489664,2.5005333,1.0618672
776074170.489664,3.4265285,1.0973418
776074180.489664,3.1943467,1.0626111
776074190.489664,2.270167,1.0616602
776074200.489664,2.270167,1.0616602
776074210.489664,4.2427855,1.0984821
776074220.489664,2.385294,1.0617611
776074230.489664,3.775661,1.0977999
776074240.489664,2.8469293,1.062216
776074250.489664,4.0089917,1.0981308
776074260.489664,3.3103802,1.0971991
776074270.489664,3.775661,1.0977999
776074280.489664,2.1551528,1.0615643
776074290.489664,3.5427911,1.0974894
776074300.489664,3.6591685,1.0976422
776074310.489664,3.3103802,1.0971991
776074320.489664,4.477044,1.1630646
776074330.489664,2.0402503,1.0251801
776074340.489664,2.0402503,1.0251801
776074350.489664,3.3103802,1.0971991
776074360.489664,2.731351,1.0620947
776074370.489664,1.2390573,1.0246674
776074380.489664,3.8922687,1.0979629
776074390.489664,2.270167,1.0616602
776074400.489664,2.8469293,1.062216
776074410.489664,4.711769,1.1634355
776074420.489664,2.385294,1.0617611
776074430.489664,3.8922687,1.0979629
776074440.489664,2.9626215,1.0623425
776074450.489664,2.385294,1.0617611
776074460.489664,3.775661,1.0977999
776074470.489664,3.6591685,1.0976422
776074480.489664,3.8922687,1.0979629
776074490.489664,1.2390573,1.0246674
776074500.489664,3.078427,1.0624743
776074510.489664,2.9626215,1.0623425
776074520.489664,3.3103802,1.0971991
776074530.489664,2.270167,1.0616602
776074540.489664,3.3103802,1.0971991
776074550.489664,2.6158857,1.0619783
776074560.489664,2.385294,1.0617611
776074570.489664,3.078427,1.0624743
776074580.489664,3.775661,1.0977999
776074590.489664,2.9626215,1.0623425
776074600.489664,3.8922687,1.0979629
776074610.489664,3.3103802,1.0971991
776074620.489664,3.1943467,1.0626111
776074630.489664,3.4265285,1.0973418
776074640.489664,4.1258307,1.0983039
776074650.489664,2.6158857,1.0619783
776074660.489664,3.5427911,1.0974894
776074670.489664,3.8922687,1.0979629
776074680.489664,4.0089917,1.0981308
776074690.489664,2.731351,1.0620947
776074700.489664,3.8922687,1.0979629
776074710.489664,3.4265285,1.0973418
776074720.489664,3.4265285,1.0973418
776074730.489664,2.9626215,1.0623425
776074740.489664,2.731351,1.0620947
776074750.489664,4.1258307,1.0983039
776074760.489664,3.1943467,1.0626111
776074770.489664,3.078427,1.0624743
776074780.489664,3.775661,1.0977999
776074790.489664,3.8922687,1.0979629
776074800.489664,1.5817586,1.0248561
776074810.489664,2.1551528,1.0615643
776074820.489664,3.4265285,1.0973418
776074830.489664,2.6158857,1.0619783
776074840.489664,3.3103802,1.0971991
776074850.489664,2.1551528,1.0615643
776074860.489664,2.731351,1.0620947
776074870.489664,3.3103802,1.0971991
776074880.489664,3.3103802,1.0971991
776074890.489664,3.8922687,1.0979629
776074900.489664,3.6591685,1.0976422
776074910.489664,1.6962144,1.0249293
776074920.489664,4.2427855,1.0984821
776074930.489664,3.1943467,1.0626111
776074940.489664,3.775661,1.0977999
776074950.489664,4.477044,1.1630646
776074960.489664,2.8469293,1.062216
776074970.489664,3.3103802,1.0971991
776074980.489664,2.9626215,1.0623425
776074990.489664,2.9626215,1.0623425
776075000.489664,2.1551528,1.0615643
776075010.489664,2.385294,1.0617611
776075020.489664,3.3103802,1.0971991
776075030.489664,2.8469293,1.062216
776075040.489664,4.0089917,1.0981308
776075050.489664,3.3103802,1.0971991
776075060.489664,1.6962144,1.0249293
776075070.489664,3.1943467,1.0626111
776075080.489664,2.9626215,1.0623425
776075090.489664,5.537008,1.1648885
776075100.489664,2.8469293,1.062216
776075110.489664,3.775661,1.0977999
776075120.489664,3.6591685,1.0976422
776075130.489664,3.775661,1.0977999
776075140.489664,2.9626215,1.0623425
776075150.489664,3.4265285,1.0973418
776075160.489664,1.2390573,1.0246674
776075170.489664,4.1258307,1.0983039
776075180.489664,3.3103802,1.0971991
776075190.489664,2.385294,1.0617611
776075200.489664,2.1551528,1.0615643
776075210.489664,1.6962144,1.0249293
776075220.489664,2.270167,1.0616602
776075230.489664,1.5817586,1.0248561
776075240.489664,1.8107815,1.0250077
776075250.489664,2.385294,1.0617611
776075260.489664,3.8922687,1.0979629
776075270.489664,3.8922687,1.0979629
776075280.489664,5.418762,1.164666
776075290.489664,3.3103802,1.0971991
776075300.489664,2.5005333,1.0618672
776075310.489664,4.2427855,1.0984821
776075320.489664,3.3103802,1.0971991
776075330.489664,2.5005333,1.0618672
776075340.489664,2.385294,1.0617611
776075350.489664,3.6591685,1.0976422
776075360.489664,3.8922687,1.0979629
776075370.489664,3.8922687,1.0979629
776075380.489664,2.385294,1.0617611
776075390.489664,3.1943467,1.0626111
776075400.489664,3.078427,1.0624743
776075410.489664,3.8922687,1.0979629
776075420.489664,3.078427,1.0624743
776075430.489664,2.1551528,1.0615643
776075440.489664,3.1943467,1.0626111
776075450.489664,4.0089917,1.0981308
776075460.489664,3.4265285,1.0973418
776075470.489664,2.9626215,1.0623425
776075480.489664,2.9626215,1.0623425
776075490.489664,3.1943467,1.0626111
776075500.489664,1.9254601,1.0250913
776075510.489664,2.1551528,1.0615643
776075520.489664,2.1551528,1.0615643
776075530.489664,3.1943467,1.0626111
776075540.489664,3.1943467,1.0626111
776075550.489664,4.3598566,1.0986655
776075560.489664,3.1943467,1.0626111
776075570.489664,3.775661,1.0977999
776075580.489664,2.5005333,1.0618672
776075590.489664,2.6158857,1.0619783
776075600.489664,4.0089917,1.0981308
776075610.489664,4.0089917,1.0981308
776075620.489664,2.1551528,1.0615643
776075630.489664,2.6158857,1.0619783
776075640.489664,5.1826262,1.1642361
776075650.489664,3.1943467,1.0626111
776075660.489664,3.1943467,1.0626111
776075670.489664,3.1943467,1.0626111
776075680.489664,3.1943467,1.0626111
776075690.489664,4.9469624,1.1638259
776075700.489664,3.078427,1.0624743
776075710.489664,2.0402503,1.0251801
776075720.489664,2.270167,1.0616602
776075730.489664,4.1258307,1.0983039
776075740.489664,1.9254601,1.0250913
776075750.489664,3.775661,1.0977999
776075760.489664,3.3103802,1.0971991
776075770.489664,1.9254601,1.0250913
776075780.489664,4.594348,1.1632476
776075790.489664,5.6553726,1.1952143
776075800.489664,3.5427911,1.0974894
776075810.489664,3.4265285,1.0973418
776075820.489664,3.078427,1.0624743
776075830.489664,2.6158857,1.0619783
776075840.489664,6.7260385,1.1974305
776075850.489664,7.0851007,1.2271773
776075860.489664,6.011181,1.1959088
776075870.489664,4.3598566,1.0986655
776075880.489664,4.2427855,1.0984821
776075890.489664,3.078427,1.0624743
776075900.489664,3.8922687,1.0979629
776075910.489664,4.2427855,1.0984821
776075920.489664,4.3598566,1.0986655
776075930.489664,4.477044,1.1630646
776075940.489664,4.3598566,1.0986655
776075950.489664,2.385294,1.0617611
776075960.489664,2.8469293,1.062216
776075970.489664,3.775661,1.0977999
776075980.489664,2.5005333,1.0618672
776075990.489664,3.1943467,1.0626111
776076000.489664,4.9469624,1.1638259
776076010.489664,4.477044,1.1630646
776076020.489664,3.8922687,1.0979629
776076030.489664,3.8922687,1.0979629
776076040.489664,4.0089917,1.0981308
776076050.489664,2.9626215,1.0623425
776076060.489664,2.1551528,1.0615643
776076070.489664,3.8922687,1.0979629
776076080.489664,3.5427911,1.0974894
776076090.489664,2.731351,1.0620947
776076100.489664,2.270167,1.0616602
776076110.489664,3.3103802,1.0971991
776076120.489664,4.711769,1.1634355
776076130.489664,2.731351,1.0620947
776076140.489664,2.6158857,1.0619783
776076150.489664,3.5427911,1.0974894
776076160.489664,3.8922687,1.0979629
776076170.489664,3.4265285,1.0973418
776076180.489664,1.5817586,1.0248561
776076190.489664,3.6591685,1.0976422
776076200.489664,4.594348,1.1632476
776076210.489664,4.0089917,1.0981308
776076220.489664,3.4265285,1.0973418
776076230.489664,3.6591685,1.0976422
776076240.489664,2.270167,1.0616602
776076250.489664,3.775661,1.0977999
776076260.489664,4.1258307,1.0983039
776076270.489664,2.731351,1.0620947
776076280.489664,2.731351,1.0620947
776076290.489664,2.731351,1.0620947
776076300.489664,3.078427,1.0624743
776076310.489664,3.1943467,1.0626111
776076320.489664,1.5817586,1.0248561
776076330.489664,3.078427,1.0624743
776076340.489664,4.1258307,1.0983039
776076350.489664,3.3103802,1.0971991
776076360.489664,1.8107815,1.0250077
776076370.489664,3.078427,1.0624743
776076380.489664,4.0089917,1.0981308
776076390.489664,3.775661,1.0977999
776076400.489664,2.385294,1.0617611
776076410.489664,3.078427,1.0624743
776076420.489664,2.8469293,1.062216
776076430.489664,1.467414,1.024788
776076440.489664,4.594348,1.1632476
776076450.489664,2.385294,1.0617611
776076460.489664,4.477044,1.1630646
776076470.489664,0.67009526,0.98607606
776076480.489664,2.270167,1.0616602
776076490.489664,2.385294,1.0617611
776076500.489664,2.1551528,1.0615643
776076510.489664,3.6591685,1.0976422
776076520.489664,2.9626215,1.0623425
776076530.489664,3.8922687,1.0979629
776076540.489664,3.8922687,1.0979629
776076550.489664,2.8469293,1.062216
776076560.489664,3.4265285,1.0973418
776076570.489664,4.1258307,1.0983039
776076580.489664,2.6158857,1.0619783
776076590.489664,1.6962144,1.0249293
776076600.489664,3.4265285,1.0973418
776076610.489664,2.5005333,1.0618672
776076620.489664,4.3598566,1.0986655
776076630.489664,3.4265285,1.0973418
776076640.489664,4.594348,1.1632476
776076650.489664,3.5427911,1.0974894
776076660.489664,2.6158857,1.0619783
776076670.489664,2.731351,1.0620947
