time,rate,err
776068905.396891,1.3776913,1.0305316
776068915.396891,2.8626814,1.0686107
776068925.396891,2.9776242,1.0687363
776068935.396891,3.5538824,1.1044624
776068945.396891,2.4039338,1.0681584
776068955.396891,2.9776242,1.0687363
776068965.396891,2.7478411,1.0684901
776068975.396891,3.0926697,1.1039071
776068985.396891,2.6331034,1.0683745
776068995.396891,2.4039338,1.0681584
776069005.396891,3.0926697,1.1039071
776069015.396891,2.5184677,1.068264
776069025.396891,1.832789,1.0308151
776069035.396891,2.289502,1.0680579
776069045.396891,3.9008791,1.1049306
776069055.396891,2.9776242,1.0687363
776069065.396891,3.669444,1.1046135
776069075.396891,3.0926697,1.1039071
776069085.396891,3.669444,1.1046135
776069095.396891,4.7141924,1.1715223
776069105.396891,3.9008791,1.1049306
776069115.396891,3.7851098,1.1047696
776069125.396891,4.7141924,1.1715223
776069135.396891,3.2078183,1.1040386
776069145.396891,1.832789,1.0308151
776069155.396891,3.3230696,1.1041749
776069165.396891,4.3650007,1.1709809
776069175.396891,2.1751716,1.0679623
776069185.396891,3.3230696,1.1041749
776069195.396891,3.3230696,1.1041749
776069205.396891,3.2078183,1.1040386
776069215.396891,3.669444,1.1046135
776069225.396891,2.4039338,1.0681584
776069235.396891,4.4812927,1.1711566
776069245.396891,3.3230696,1.1041749
776069255.396891,4.5976896,1.1713371
776069265.396891,3.2078183,1.1040386
776069275.396891,2.8626814,1.0686107
776069285.396891,2.5184677,1.068264
776069295.396891,2.6331034,1.0683745
776069305.396891,2.4039338,1.0681584
776069315.396891,4.5976896,1.1713371
776069325.396891,3.669444,1.1046135
776069335.396891,5.532674,1.2036033
776069345.396891,3.4384243,1.1043161
776069355.396891,3.3230696,1.1041749
776069365.396891,4.0167527,1.1050967
776069375.396891,4.132731,1.1052678
776069385.396891,3.2078183,1.1040386
776069395.396891,3.2078183,1.1040386
776069405.396891,3.669444,1.1046135
776069415.396891,2.8626814,1.0686107
776069425.396891,3.4384243,1.1043161
776069435.396891,2.4039338,1.0681584
776069445.396891,3.5538824,1.1044624
776069455.396891,2.1751716,1.0679623
776069465.396891,2.289502,1.0680579
776069475.396891,4.947514,1.1719071
776069485.396891,2.289502,1.0680579
776069495.396891,3.0926697,1.1039071
776069505.396891,1.832789,1.0308151
776069515.396891,2.8626814,1.0686107
776069525.396891,4.5976896,1.1713371
776069535.396891,3.7851098,1.1047696
776069545.396891,2.6331034,1.0683745
776069555.396891,3.4384243,1.1043161
776069565.396891,1.3776913,1.0305316
